district,type,state,nces_id,team_name,project_count,assigned_manager
Grapevine-Colleyville Isd,Alternative Education School,TX,482166008034,Luminary,1,Jordan Walker
Colbert,Regular school,OK,400822000342,Luminary,2,Sharon Coleman
Orcutt Union Elementary,Regular school,CA,62871004463,Apex,3,Gregory Ruiz
South Bay Union,Regular school,CA,63738006325,Horizon,1,Nathan Medina
Greenville Public Schools,Regular school,MS,280162000237,Odyssey,1,Valerie Morales
Carter County,Regular school,TN,470051000152,Horizon,1,Keith Foster
Puerto Rico Department Of Education,Regular school,PR,720003001818,Genesis,3,Cynthia Oliver
Windham School District,Regular school,CT,90519001084,Genesis,3,Larry Howard
St. Louis City,Regular school,MO,292928002875,Horizon,1,Blake Martin
Galena Park Isd,Regular school,TX,482025001982,Luminary,1,Anthony Reid
Duluth Public School District,Regular school,MN,271104000489,Odyssey,3,Eileen Williams
Somerset County Educational Services Commission,Special education school,NJ,348028003292,Odyssey,1,Valerie Morales
Polk,Regular school,FL,120159002894,Endeavor,2,Tiffany Nash
Sheldon Isd,Alternative Education School,TX,483999010797,Odyssey,2,Jacob Key
Henderson County Schools,Regular school,NC,370210000804,Luminary,1,Jordan Walker
Godley Isd,Regular school,TX,482096002089,Genesis,2,Cynthia Oliver
Crown Point Community School Corp,Regular school,IN,180249000300,Endeavor,2,Dennis Meyer
Marysville School District,Regular school,WA,530486000738,Genesis,3,Larry Howard
Katy Isd,Regular school,TX,482517010763,Apex,3,Michael Massey
Spotsylvania Co Pblc Schs,Regular school,VA,510364002462,Horizon,3,Hayden Mills
United South Central School Dist.,Regular school,MN,270000501770,Genesis,1,Cynthia Oliver
Wynnewood,Regular school,OK,403330001834,Apex,3,Michael Massey
Pajaro Valley Unified,Regular school,CA,62949006662,Genesis,2,Paul Perry
Coulee-Hartline School District,Regular school,WA,530344001771,Odyssey,3,Sean Green
White Pine County School District,Regular school,NV,320051000267,Luminary,3,Tina Johnson
Springfield R-Xii,Regular school,MO,292886001828,Luminary,3,Jason Owen
Granite District,Regular school,UT,490036000200,Apex,3,Emily Levy
Ipswich,Regular school,MA,250648000939,Horizon,2,Mathew Clarke
Red Lake Public School District,Regular school,MN,273051001301,Odyssey,1,Eileen Williams
Brookwood Sd 167,Regular school,IL,171695002006,Genesis,2,Cynthia Oliver
Geneva Cusd 304,Regular school,IL,171638001955,Genesis,1,Mary Castro
Indian Creek Cusd 425,Regular school,IL,173597000455,Apex,2,Emily Levy
Tucson Unified District (4403),Regular school,AZ,40880000882,Odyssey,3,Karla Henson
Campbellsport School District,Regular school,WI,550216000259,Luminary,3,Catherine Wood
New Bedford,Regular school,MA,250843002681,Endeavor,2,Laura Callahan
Montgomery County Public Schools,Regular school,MD,240048000798,Luminary,1,Catherine Wood
Deer Lakes Sd,Regular school,PA,420754000431,Horizon,3,Jared Hernandez
Upland Unified,Alternative Education School,CA,60001609085,Endeavor,2,Tiffany Nash
Santa Clara Unified,Alternative Education School,CA,63543006053,Luminary,2,Catherine Wood
Enid,Regular school,OK,401092002717,Apex,1,Brian Lowe
Mapleton School District No. 1 In The County Of Adams & St,Regular school,CO,80555006786,Odyssey,2,Sean Green
Miami-Dade,Regular school,FL,120039000604,Apex,1,Candice Ramos
Forsyth County,Regular school,GA,130222001897,Apex,2,Samantha Jackson
Wasco Union High,Regular school,CA,64143006849,Odyssey,1,Eric Rose
San Ysidro Elementary,Regular school,CA,63522005966,Odyssey,2,Troy Collins
Kaizen Education Foundation Dba Discover U Element (91328),Regular school,AZ,40089403379,Horizon,3,Keith Foster
Poolville Isd,Regular school,TX,483534008011,Luminary,2,Brandon Berry
San Francisco Unified,Regular school,CA,63441013244,Endeavor,1,Stacey Mays
South Glens Falls Central School District,Regular school,NY,362724003717,Endeavor,3,Mackenzie Rice
Hiawatha Academies,Regular school,MN,270028804862,Genesis,2,Nancy Carroll
Hays Cisd,Regular school,TX,480001008836,Horizon,3,Keith Foster
Weston Preparatory Academy,Regular school,MI,260023001200,Luminary,3,Amanda Becker
Zapata County Isd,Regular school,TX,484671005352,Endeavor,2,Randy Chavez
Lafourche Parish,Regular school,LA,220090000699,Odyssey,2,Tony Hoffman
Marion-Florence,Regular school,KS,200924000947,Genesis,3,Nancy Carroll
Sumter 01,Regular school,SC,450390200223,Luminary,3,Tina Johnson
Loudoun Co Pblc Schs,Regular school,VA,510225001915,Luminary,3,Amanda Becker
Whitesboro Central School District,Regular school,NY,363132004191,Luminary,3,Amanda Becker
Tazewell Co Pblc Schs,Regular school,VA,510381001669,Luminary,1,Sharon Coleman
Yale Public Schools,Regular school,MI,263660007272,Odyssey,1,Steven Lamb
Yukon,Regular school,OK,403348001846,Apex,1,Candice Ramos
Aiken 01,Regular school,SC,450072000018,Odyssey,2,Troy Collins
Hamilton County,Regular school,TN,470159002220,Genesis,1,Alexander Harmon
Twin Rivers Unified,Regular school,CA,60133205098,Apex,2,Benjamin Mcneil
Mono County Office Of Education,Alternative Education School,CA,69105213701,Endeavor,3,Connor Banks
Blair Community Schools,Regular school,NE,310410000088,Luminary,2,Tina Johnson
Livermore Valley Joint Unified,Regular school,CA,62211008438,Apex,1,Samantha Jackson
Yazoo City Municipal School Dist,Career and Technical School,MS,280477001098,Odyssey,2,Eric Rose
Campbellsport School District,Regular school,WI,550216000260,Luminary,2,Jason Owen
Waterbury School District,Regular school,CT,90483000991,Odyssey,2,Karla Henson
Puerto Rico Department Of Education,Regular school,PR,720003000454,Luminary,3,Catherine Wood
Va Beach City Pblc Schs,Regular school,VA,510384001710,Luminary,2,Sharon Coleman
Pima County Jted (89380),Career and Technical School,AZ,40075202776,Apex,1,Gregory Ruiz
Charlotte-Mecklenburg Schools,Regular school,NC,370297001262,Apex,3,Michael Massey
Lake Forest Sd 67,Regular school,IL,172175002451,Luminary,2,Amanda Becker
Cambridge,Regular school,MA,250327000441,Genesis,2,Dana Gray
Bentonville School District,Regular school,AR,50306000073,Apex,1,Michael Massey
City Of Chicago Sd 299,Regular school,IL,170993006499,Luminary,3,Andrew Woodward
Southgate Community School District,Alternative Education School,MI,263234001932,Luminary,1,Jackson Martinez
